08437;Sigmaringen;127272;127101;127716;130772;130275
09161;Ingolstadt;127886;129136;131002;132438;133639
09162;München;1388308;1407836;1429584;1450381;1464301
09163;Rosenheim;59935;60464;60889;61844;62672
09171;Altötting;106515;106965;107465;108485;109422
09172;Berchtesgadener Land;101875;102346;102976;103907;104480
09173;Bad Tölz-Wolfratshausen;120664;122118;123340;124930;125668
09174;Dachau;142021;144407;146279;149370;150839
09175;Ebersberg;131011;133007;134873;137421;139016
09176;Eichstätt;125039;125858;127189;128805;130808
09177;Erding;128289;130238;131839;133747;135429
09178;Freising;166286;169010;170357;173225;175803
09179;Fürstenfeldbruck;205194;208272;210278;213481;216857
09180;Garmisch-Partenkirchen;84710;85443;85931;87385;87877
09181;Landsberg am Lech;114223;114926;116118;117657;118725
09182;Miesbach;94759;96049;96773;98286;98828
09183;Mühldorf am Inn;107363;109227;110296;112034;113222
09184;München;325744;329981;332800;340003;343405
09185;Neuburg-Schrobenhausen;91783;92700;93505;94654;95759
09186;Pfaffenhofen an der Ilm;118349;119987;121594;124128;125085
09187;Rosenheim;247133;249810;251850;256074;257466
09188;Starnberg;129530;130811;131873;133621;134732
09189;Traunstein;169464;170364;171978;174162;175431
09190;Weilheim-Schongau;129568;130387;131190;132906;133859
09261;Landshut;65322;66179;67509;69211;70025
09262;Passau;49038;49454;49952;50566;51074
09263;Straubing;45099;45502;46027;46806;47142
09271;Deggendorf;114733;115374;115699;116596;117601
09272;Freyung-Grafenau;77817;77626;77927;78122;78180
09273;Kelheim;113996;115232;116495;118965;119969
09274;Landshut;148862;150316;151819;154577;155442
09275;Passau;184905;185671;186284;188336;188904
09276;Regen;76329;76257;76265;76812;77187
09277;Rottal-Inn;117437;117654;118164;119218;119617
09278;Straubing-Bogen;96667;97323;97967;98806;99221
09279;Dingolfing-Landau;91267;92565;93450;94104;95035
09361;Amberg;41578;41592;41535;41861;42348
09362;Regensburg;138296;140276;142292;145465;148638
09363;Weiden in der Oberpfalz;41684;41726;41817;42055;42494
09371;Amberg-Sulzbach;103352;103074;103045;103568;103009
09372;Cham;125620;125553;125844;126359;126918
09373;Neumarkt in der Oberpfalz;127145;127826;128975;130385;131662
09374;Neustadt an der Waldnaab;95849;95447;95184;95078;94528
09375;Regensburg;184344;185980;187205;189390;190481
09376;Schwandorf;142947;143060;143614;144864;145382
09377;Tirschenreuth;73923;73457;73250;73314;72918
09461;Bamberg;70863;71167;71952;73331;75743
09462;Bayreuth;71482;71572;71601;72148;73065
09463;Coburg;41022;40994;41062;41257;41071
09464;Hof;44461;44522;44325;44660;45183
09471;Bamberg;143758;144425;144695;145570;146042
09472;Bayreuth;104901;104637;104615;104306;103876
09473;Coburg;87006;86719;86715;86599;86734
09474;Forchheim;113331;113424;113900;114834;115259
09475;Hof;97873;97096;96608;96429;95915
